#{"t_start": 1744093429.7673395, "env_id": "None"}
r,l,t
-260.0,2,26.720867
-280.0,3,26.726206
-260.0,2,27.557089
-260.0,2,27.562567
-260.0,2,27.563568
-260.0,2,27.569568
-280.0,3,27.581103
-260.0,2,27.583102
-260.0,2,27.585249
-260.0,2,27.590194
-260.0,2,27.601998
-260.0,2,27.603005
-280.0,3,28.829893
-260.0,2,28.829893
-260.0,2,28.844215
-260.0,2,28.845974
-280.0,3,28.853115
-260.0,2,28.857267
-260.0,2,28.866421
-260.0,2,28.872819
-260.0,2,28.874207
-280.0,3,28.88093
-260.0,2,29.760578
-260.0,2,29.76685
-260.0,2,29.767887
-260.0,2,29.772774
-260.0,2,29.779245
-260.0,2,29.786187
-260.0,2,29.787478
-260.0,2,29.791253
-260.0,2,29.79975
-260.0,2,29.807138
-260.0,2,30.647179
-260.0,2,30.650914
-260.0,2,30.657495
-260.0,2,30.663437
-260.0,2,30.664828
-260.0,2,30.670835
-260.0,2,30.677166
-260.0,2,30.681711
-260.0,2,30.683234
-260.0,2,30.68874
-260.0,2,31.531444
-260.0,2,31.537875
-260.0,2,31.539793
-280.0,3,31.544418
-260.0,2,31.554754
-260.0,2,31.555755
-260.0,2,31.559985
-260.0,2,31.564453
-260.0,2,31.568166
-260.0,2,31.568166
-260.0,2,32.433679
-280.0,3,32.435675
-260.0,2,32.445978
-260.0,2,32.446717
-260.0,2,32.450506
-260.0,2,32.452761
-260.0,2,32.46249
-260.0,2,32.464498
-260.0,2,32.469914
-260.0,2,32.470925
-260.0,2,33.419851
-260.0,2,33.421414
-260.0,2,33.427435
-280.0,3,33.431823
-260.0,2,33.440074
-260.0,2,33.446069
-260.0,2,33.448644
-260.0,2,33.454829
-260.0,2,33.461425
-260.0,2,33.467905
-260.0,2,34.428829
-260.0,2,34.432984
-260.0,2,34.439893
-260.0,2,34.446181
-260.0,2,34.447182
-260.0,2,34.453642
-300.0,4,34.465827
-260.0,2,34.466892
-260.0,2,34.469721
-260.0,2,34.469721
-260.0,2,35.482122
-260.0,2,35.483213
-260.0,2,35.488469
-260.0,2,35.48969
-260.0,2,35.501333
-260.0,2,35.502927
-260.0,2,35.50858
-260.0,2,35.509908
-260.0,2,35.52123
-260.0,2,35.522539
