# reward,episode_length,on_time,off_time
-3.755101394653320312e+01,2.200000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-3.540436553955078125e+01,1.900000000000000000e+01,3.000000000000000000e+00,7.000000000000000000e+00
-2.354834938049316406e+01,2.900000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-2.298708534240722656e+01,2.700000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-4.035369110107421875e+01,2.400000000000000000e+01,3.000000000000000000e+00,7.000000000000000000e+00
-1.663615036010742188e+01,3.100000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-1.057123279571533203e+01,3.500000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-3.310177612304687500e+01,4.300000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-1.970710754394531250e+01,2.500000000000000000e+01,3.000000000000000000e+00,7.000000000000000000e+00
-3.676345825195312500e+01,1.700000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-2.990223312377929688e+01,2.300000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-3.402708816528320312e+01,2.300000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-1.264841175079345703e+01,2.300000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-7.109447479248046875e+01,3.100000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-3.310177612304687500e+01,1.900000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-3.080150985717773438e+01,2.800000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-3.894309997558593750e+01,5.800000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-1.728791236877441406e+01,2.400000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-1.761459159851074219e+01,2.400000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-6.167575073242187500e+01,3.200000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-2.379031753540039062e+01,2.300000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
1.939623107910156250e+02,1.100000000000000000e+01,3.000000000000000000e+00,7.000000000000000000e+00
-3.437689971923828125e+01,3.300000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-2.058028221130371094e+01,1.900000000000000000e+01,3.000000000000000000e+00,7.000000000000000000e+00
-3.310177612304687500e+01,2.200000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-3.674236679077148438e+01,2.500000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-9.379457855224609375e+01,1.020000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+01
-9.970651626586914062e+00,4.000000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-4.035369110107421875e+01,3.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-7.113357543945312500e+01,2.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-7.113357543945312500e+01,1.400000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-1.272434902191162109e+01,5.000000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-1.968583106994628906e+01,4.200000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-1.620167922973632812e+01,2.700000000000000000e+01,3.000000000000000000e+00,7.000000000000000000e+00
-3.104222297668457031e+01,2.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-5.962709045410156250e+01,2.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-3.313272094726562500e+01,1.900000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-1.251637649536132812e+01,2.500000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-1.768037414550781250e+01,2.000000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00
-2.379031753540039062e+01,4.800000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00
-1.045488586425781250e+02,1.400000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-2.850622367858886719e+01,3.500000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-7.113357543945312500e+01,2.200000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
-7.113357543945312500e+01,2.100000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01
